kumei,count,lat,lon,件数（相対値）
渋谷区,1564,35.658,139.7016,1.0
千代田区,1251,35.685144,139.75541,0.7875084860828242
新宿区,1152,35.6938,139.7035,0.7202987101154107
港区,1079,35.658,139.7515,0.6707399864222675
中央区,891,35.6803,139.7716,0.5431093007467753
世田谷区,685,35.6465,139.6532,0.40325865580448067
豊島区,626,35.7348,139.7077,0.36320434487440595
江東区,557,35.6728,139.8174,0.3163611676849966
台東区,428,35.711767,139.793658,0.2287847929395791
杉並区,423,35.6995,139.6364,0.22539035980991173
大田区,421,35.56,139.7394,0.2240325865580448
品川区,339,35.6092,139.7301,0.16836388323150034
目黒区,334,35.6292,139.7077,0.164969450101833
練馬区,330,35.7356,139.6516,0.16225390359809913
足立区,322,35.778047,139.797225,0.15682281059063136
墨田区,279,35.695867,139.809111,0.12763068567549218
中野区,251,35.7073,139.6638,0.10862186014935506
北区,226,35.739715,139.747859,0.09164969450101833
板橋区,220,35.776731,139.694887,0.08757637474541752
文京区,198,35.7259,139.743,0.0726408689748812
江戸川区,193,35.7066,139.8684,0.06924643584521385
葛飾区,192,35.75618,139.877998,0.06856754921928038
荒川区,91,35.732695,139.769996,0.001
